layer,group,probe,token_id,mean_trigger_minus_clean_logit,std,positive_fraction
6,error,mistake,16523,0.1782594919204712,0.36536601185798645,0.65625
6,error,misleading,37209,-0.7288721203804016,0.47418615221977234,0.03125
6,error,deceive,92828,0.42711472511291504,0.5148136019706726,0.796875
6,checking,correct,4396,1.3828105926513672,1.2143365144729614,0.90625
6,checking,verify,10146,0.03053634986281395,0.5362492799758911,0.515625
6,checking,check,1779,1.308940052986145,0.7818526029586792,0.953125
6,checking,careful,16585,0.22620432078838348,0.5838878154754639,0.6875
6,reasoning,think,1744,0.8768578171730042,0.6446486711502075,0.921875
6,reasoning,reason,2874,1.0467121601104736,0.6120097637176514,0.96875
6,reasoning,answer,4226,1.6763856410980225,0.8993866443634033,0.96875
6,reasoning,solve,11625,-0.1816256046295166,0.6686248779296875,0.3125
6,reasoning,step,3019,1.0889453887939453,1.1800049543380737,0.875
6,reasoning,conclusion,16688,1.104002833366394,0.6767879724502563,0.953125
6,termination,final,1590,0.7339741587638855,0.8134093284606934,0.859375
6,termination,end,835,0.34099167585372925,0.765011191368103,0.6875
6,termination,stop,2936,1.0779120922088623,0.8995893001556396,0.875
6,termination,short,2805,2.167311668395996,0.9728936553001404,1.0
6,termination,continue,3060,0.13355067372322083,0.5126803517341614,0.625
6,plausibility,plausible,49334,0.7737100124359131,0.5942923426628113,0.9375
6,plausibility,coherent,55787,1.1015969514846802,0.7081044912338257,0.953125
6,plausibility,confident,16506,0.6250178217887878,0.5619688630104065,0.890625
6,plausibility,trust,6950,0.6766785383224487,0.6665968894958496,0.859375
7,error,wrong,4969,1.283273696899414,0.9552839398384094,0.9375
7,error,incorrect,15114,0.2599879205226898,0.8263624906539917,0.5625
7,error,error,1465,1.8515162467956543,0.8715817928314209,1.0
7,error,mistake,16523,-0.14838357269763947,0.4445202350616455,0.359375
7,error,misleading,37209,-1.2176611423492432,0.6566107869148254,0.015625
7,error,deceive,92828,0.5604308843612671,0.6525859832763672,0.78125
7,checking,correct,4396,1.8925228118896484,1.1874303817749023,0.984375
7,checking,verify,10146,-0.1883091926574707,0.5738871693611145,0.34375
7,checking,check,1779,0.9958101511001587,0.7972131371498108,0.921875
7,checking,careful,16585,0.20272944867610931,0.6817010045051575,0.671875
7,reasoning,think,1744,0.8673875331878662,0.6817410588264465,0.859375
7,reasoning,reason,2874,0.5371876358985901,0.8575425744056702,0.703125
7,reasoning,answer,4226,2.627659797668457,1.2022180557250977,0.984375
7,reasoning,solve,11625,-0.02160574123263359,0.710115909576416,0.5
7,reasoning,step,3019,1.7151763439178467,1.1980552673339844,0.90625
7,reasoning,conclusion,16688,1.2326056957244873,0.8911275267601013,0.890625
7,termination,final,1590,1.1895389556884766,0.9864448308944702,0.890625
7,termination,end,835,0.5943201184272766,0.930301308631897,0.71875
7,termination,stop,2936,1.0157108306884766,0.8293763995170593,0.859375
7,termination,short,2805,2.3724093437194824,0.9822655320167542,1.0
7,termination,continue,3060,-0.3326374888420105,0.6685126423835754,0.328125
7,plausibility,plausible,49334,0.565279483795166,0.6047523021697998,0.84375
7,plausibility,coherent,55787,1.2552490234375,0.6146125197410583,0.984375
7,plausibility,confident,16506,1.3074486255645752,0.6048462390899658,0.984375
7,plausibility,trust,6950,1.0346660614013672,0.733272910118103,0.90625
8,error,wrong,4969,1.2202695608139038,1.1893776655197144,0.890625
8,error,incorrect,15114,0.9046143889427185,1.000115156173706,0.828125
8,error,error,1465,1.6243209838867188,1.1235727071762085,0.9375
8,error,mistake,16523,0.012924909591674805,0.5910688638687134,0.453125
8,error,misleading,37209,-0.726966142654419,0.7449496388435364,0.203125
8,error,deceive,92828,1.129030466079712,0.6458161473274231,0.953125
8,checking,correct,4396,2.1047606468200684,1.3862686157226562,0.953125
8,checking,verify,10146,-0.9901207685470581,0.7579051852226257,0.0625
8,checking,check,1779,0.056214407086372375,1.1861765384674072,0.59375
8,checking,careful,16585,0.41072919964790344,0.6237591505050659,0.75
8,reasoning,think,1744,1.0449618101119995,0.680932343006134,0.921875
8,reasoning,reason,2874,-0.08555600792169571,0.7567152380943298,0.46875
8,reasoning,answer,4226,1.9222192764282227,1.4904080629348755,0.921875
8,reasoning,solve,11625,-0.29936352372169495,1.1125702857971191,0.421875
8,reasoning,step,3019,1.7697644233703613,1.4693313837051392,0.890625
8,reasoning,conclusion,16688,0.9955341815948486,1.049249291419983,0.8125
8,termination,final,1590,1.1236302852630615,1.1976053714752197,0.765625
8,termination,end,835,0.6784725785255432,0.9904041290283203,0.6875
8,termination,stop,2936,0.9284195899963379,0.9352056384086609,0.828125
8,termination,short,2805,3.0547122955322266,1.2933382987976074,0.984375
8,termination,continue,3060,-0.1541031002998352,0.8584581017494202,0.46875
8,plausibility,plausible,49334,-0.20406639575958252,0.9217938780784607,0.46875
8,plausibility,coherent,55787,0.63323974609375,0.9768123626708984,0.765625
8,plausibility,confident,16506,1.5894219875335693,0.7517083287239075,0.984375
8,plausibility,trust,6950,0.9521129131317139,0.832462728023529,0.890625
9,error,wrong,4969,1.1298061609268188,1.024558663368225,0.890625
9,error,incorrect,15114,0.6529150009155273,0.9049745202064514,0.75
9,error,error,1465,2.8593225479125977,1.1740915775299072,1.0
9,error,mistake,16523,0.35771483182907104,0.6021340489387512,0.78125
9,error,misleading,37209,-0.5501291751861572,0.7085415720939636,0.1875
9,error,deceive,92828,1.043566346168518,0.6224322319030762,0.96875
9,checking,correct,4396,2.7048277854919434,1.3326432704925537,0.984375
9,checking,verify,10146,-0.8212139010429382,0.8035820126533508,0.125
9,checking,check,1779,-0.0849529504776001,1.0396867990493774,0.5
9,checking,careful,16585,0.9496784210205078,0.81075119972229,0.875
9,reasoning,think,1744,1.5014801025390625,0.758470892906189,0.984375
9,reasoning,reason,2874,0.21342065930366516,0.6731457114219666,0.609375
9,reasoning,answer,4226,1.71513831615448,1.4539716243743896,0.890625
9,reasoning,solve,11625,-0.5755404233932495,1.1739453077316284,0.296875
9,reasoning,step,3019,1.6540718078613281,1.501688838005066,0.875
9,reasoning,conclusion,16688,1.1057530641555786,0.9693836569786072,0.875
9,termination,final,1590,0.8055840730667114,1.2667943239212036,0.75
9,termination,end,835,0.31878042221069336,0.9627463817596436,0.59375
9,termination,stop,2936,0.6568067073822021,0.750978410243988,0.796875
9,termination,short,2805,3.840683937072754,1.3513842821121216,1.0
9,termination,continue,3060,0.27512049674987793,0.8711304664611816,0.703125
9,plausibility,plausible,49334,-0.1993129551410675,0.8215704560279846,0.453125
9,plausibility,coherent,55787,1.1925337314605713,0.8278887867927551,0.921875
9,plausibility,confident,16506,1.9389441013336182,0.8546541333198547,1.0
9,plausibility,trust,6950,0.9694204926490784,0.9697241187095642,0.8125
10,error,wrong,4969,0.6664779782295227,0.9310529232025146,0.765625
10,error,incorrect,15114,0.8299232721328735,1.0682854652404785,0.78125
10,error,error,1465,2.508472442626953,1.8309845924377441,0.921875
